ikey,smiles,dg_hyd,T,err,unit,process,route
CUAUDSWILJWDOD-UHFFFAOYSA-N,CC(CC(C)CCc1ccc(cc1)O)CC,-6.0271981748893015,278.0,840.0,M/atm,KGW,henry
CUAUDSWILJWDOD-UHFFFAOYSA-N,CC(CC(C)CCc1ccc(cc1)O)CC,-5.935821866244635,283.0,578.0,M/atm,KGW,henry
CUAUDSWILJWDOD-UHFFFAOYSA-N,CC(CC(C)CCc1ccc(cc1)O)CC,-5.743626752113313,288.0,338.0,M/atm,KGW,henry
CUAUDSWILJWDOD-UHFFFAOYSA-N,CC(CC(C)CCc1ccc(cc1)O)CC,-5.637713845501867,293.0,233.0,M/atm,KGW,henry
CUAUDSWILJWDOD-UHFFFAOYSA-N,CC(CC(C)CCc1ccc(cc1)O)CC,-5.230733350830102,298.15,98.0,M/atm,KGW,henry
CUAUDSWILJWDOD-UHFFFAOYSA-N,CC(CC(C)CCc1ccc(cc1)O)CC,-5.966916104807716,278.0,753.0,M/atm,KGW,henry
CUAUDSWILJWDOD-UHFFFAOYSA-N,CC(CC(C)CCc1ccc(cc1)O)CC,-5.871706820882072,283.0,516.0,M/atm,KGW,henry
CUAUDSWILJWDOD-UHFFFAOYSA-N,CC(CC(C)CCc1ccc(cc1)O)CC,-5.670411965417134,288.0,298.0,M/atm,KGW,henry
CUAUDSWILJWDOD-UHFFFAOYSA-N,CC(CC(C)CCc1ccc(cc1)O)CC,-5.569243689300082,293.0,208.0,M/atm,KGW,henry
CUAUDSWILJWDOD-UHFFFAOYSA-N,CC(CC(C)CCc1ccc(cc1)O)CC,-5.146438125085329,298.15,85.0,M/atm,KGW,henry
GETTZEONDQJALK-UHFFFAOYSA-N,c1ccccc1C(F)(F)F,-0.25,298.15,1.93,kcal/mol,FEOH,free_energy
GETTZEONDQJALK-UHFFFAOYSA-N,FC(F)(F)c1ccccc1,-0.2335667328033593,298.15,298000000.0,Pa/mf,KWG,henry
YTZKOQUCBOVLHL-UHFFFAOYSA-N,c1ccccc1C(C)(C)C,-0.44,298.15,1.93,kcal/mol,DGS,free_energy
YTZKOQUCBOVLHL-UHFFFAOYSA-N,c1ccccc1C(C)(C)C,-0.44,298.15,1.93,kCal/mol,DGS,free_energy
YTZKOQUCBOVLHL-UHFFFAOYSA-N,c1ccccc1C(C)(C)C,-0.4373804971319311,298.15,8.08,kJ/mol,FEOH,free_energy
YTZKOQUCBOVLHL-UHFFFAOYSA-N,c1ccccc1C(C)(C)C,-0.4373804971319311,298.15,8.08,kJ/mol,FEOH,free_energy
YTZKOQUCBOVLHL-UHFFFAOYSA-N,c1ccccc1C(C)(C)C,-0.44,298.15,1.93,kcal/mol,FEOH,free_energy
YTZKOQUCBOVLHL-UHFFFAOYSA-N,c1ccccc1C(C)(C)C,-0.4645806972857383,298.54999999999995,5.0,M/M,KWG,henry
YTZKOQUCBOVLHL-UHFFFAOYSA-N,c1ccccc1C(C)(C)C,-0.4207903045216679,308.15,5.0,M/M,KWG,henry
YTZKOQUCBOVLHL-UHFFFAOYSA-N,c1ccccc1C(C)(C)C,-0.3498661695218691,318.15,5.0,M/M,KWG,henry
YTZKOQUCBOVLHL-UHFFFAOYSA-N,c1ccccc1C(C)(C)C,-0.2133127606962185,328.15,5.0,M/M,KWG,henry
